Time (s),x,y,z,,timestamps
0.303112592,-0.842759013,4.378994942,10.2331171,303.112592,303112.592
0.305112092,-1.118092179,4.515464306,10.11580181,305.112092,305112.092
0.307112058,-1.441309452,4.762067318,9.818920135,307.112058,307112.058
0.309112024,-1.477222443,4.941931725,9.531616211,309.112024,309112.024
0.311111124,-1.395819545,5.011363506,9.419088364,311.111124,311111.124
0.313110257,-1.139639974,5.087977886,9.263465881,313.110257,313110.257
0.315109423,-0.883460403,5.107131481,9.1916399,315.109423,315109.423
0.317108589,-0.773327172,5.11191988,9.179668427,317.108589,317108.589
0.319107755,-0.565031588,5.107131481,9.148544312,319.107755,319107.755
0.321107788,-0.658405483,4.805162907,9.019257545,321.107788,321107.788
0.323107821,-0.591367841,4.666299343,8.789413452,323.107821,323107.821
0.325107854,-0.502782345,4.666299343,8.705616951,325.107854,325107.854
0.327107887,-0.29688102,4.757278919,8.621819496,327.107887,327107.887
0.32910792,-0.129286885,4.876988888,8.528446198,329.10792,329107.92
0.331108786,-0.059855044,4.949114323,8.475772858,331.108786,331108.786
0.333109652,0.055066638,5.083189487,8.406341553,333.109652,333109.652
0.335110518,0.129286885,5.214870453,8.468590736,335.110518,335110.518
0.337111384,0.172382519,5.277119637,8.561964989,337.111384,337111.384
0.339111384,0.268150598,5.418377876,8.79899025,339.111384,339111.384
0.341111017,0.385466486,5.51893425,9.012074471,341.111017,341111.017
0.343110983,0.474051923,5.55724144,9.093477249,343.110983,343110.983
0.345110949,0.653617084,5.588366032,9.189245224,345.110949,345110.949
0.347110915,0.837970614,5.597942829,9.184456825,347.110915,347110.915
0.349110881,1.00317049,5.59315443,9.100660324,349.110881,349110.881
0.351109981,1.079784989,5.574000835,9.040804863,351.109981,351109.981
0.353109947,1.211466074,5.494992256,8.916306496,353.109947,353109.947
0.355109913,1.271321058,5.451896667,8.866027832,355.109913,355109.913
0.357109879,1.369483352,5.348946095,8.784625053,357.109879,357109.879
0.359109645,1.438915253,5.22444725,8.734347343,359.109645,359109.645
0.361109678,1.462857246,5.164592266,8.703222275,361.109678,361109.678
0.363109711,1.549048543,5.07361269,8.626607895,363.109711,363109.711
0.365110211,1.678335428,4.968267918,8.573935509,365.110211,365110.211
0.367110244,1.798045516,4.925172329,8.49253273,367.110244,367110.244
0.369110277,1.879448295,4.826710701,8.447042465,369.110277,369110.277
0.371111177,2.104503393,4.759673119,8.368034363,371.111177,371111.177
0.373112077,2.334346771,4.661510944,8.221987724,373.112077,373112.077
0.375112943,2.461239338,4.618414879,8.140584946,375.112943,375112.943
0.377113776,2.67432332,4.584896088,7.958625793,377.113776,377113.776
0.379114609,2.908955097,4.534617901,7.719205379,379.114609,379114.609
0.381114575,3.052607059,4.532223701,7.654561996,381.114575,381114.575
0.383114541,3.268085241,4.551377296,7.606678009,383.114541,383114.541
0.385114507,3.366247654,4.565742493,7.534852028,385.114507,385114.507
0.387114473,3.428496838,4.582501888,7.513304234,387.114473,387114.473
0.389114439,3.512293816,4.65193367,7.539640427,389.114439,389114.439
0.391113572,3.538630009,4.723760128,7.621043205,391.113572,391113.572
